Timestamp,BMP280 Pressure (hPa),AHT10 Temperature (°C),AHT10 Humidity (%),Wind Speed (m/s),Air Quality (ppm),Cloudy/Sunny
2024-06-25 12:05:51,,,,,,0
2024-06-25 12:05:56,,,,1.73,0.00,0
2024-06-25 12:06:01,,,,1.41,0.00,0
2024-06-25 12:06:06,852.76,,,1.41,0.00,0
2024-06-25 12:06:11,1268.45,22.69,74.94,1.41,416.67,0
2024-06-25 12:06:16,852.82,22.68,74.95,1.41,471.67,0
2024-06-25 12:06:21,1268.45,22.67,74.96,1.41,688.33,0
2024-06-25 12:06:26,852.75,22.67,74.96,1.41,688.33,0
2024-06-25 12:06:31,852.79,22.65,74.97,1.41,688.33,0
2024-06-25 12:06:36,1268.45,22.64,75.02,1.41,688.33,1
2024-06-25 12:06:41,852.80,22.64,75.04,1.41,688.33,0
2024-06-25 12:06:46,852.78,-50.00,0.00,1.41,688.33,0
2024-06-25 12:06:52,852.78,22.63,75.15,1.41,688.33,0
2024-06-25 12:06:57,852.80,24.34,86.70,1.41,755.00,0
2024-06-25 12:07:02,852.77,24.27,86.77,1.41,318.33,0
2024-06-25 12:07:07,852.78,25.54,87.57,1.41,318.33,0
2024-06-25 12:07:12,852.74,25.54,87.57,1.41,118.33,0
2024-06-25 12:07:17,852.76,24.27,77.75,1.41,21.67,0
2024-06-25 12:07:22,852.76,24.27,77.75,1.41,21.67,0
2024-06-25 12:07:27,852.78,23.87,74.44,1.41,0.00,0
2024-06-25 12:07:32,852.78,23.87,74.44,1.41,0.00,0
2024-06-25 12:07:37,852.75,23.65,73.29,1.41,0.00,0
2024-06-25 12:07:42,852.80,23.70,73.15,1.41,0.00,0
2024-06-25 12:07:43,,,,,,0
2024-06-25 12:07:48,852.76,23.46,72.95,,0.00,0
2024-06-25 12:07:53,852.77,23.44,72.95,1.57,0.00,0
2024-06-25 12:07:58,852.77,23.38,72.97,0.63,0.00,0
2024-06-25 12:08:03,852.77,23.32,73.13,3.14,0.00,0
2024-06-25 12:08:08,852.77,18.75,0.00,0.00,0.00,0
2024-06-25 12:08:13,852.80,18.75,0.00,0.00,0.00,0
2024-06-25 12:08:18,852.77,26.20,83.92,0.00,0.00,0
2024-06-25 12:08:23,1268.45,26.77,83.46,0.00,0.00,0
2024-06-25 12:08:29,852.75,26.62,79.43,0.00,0.00,0
2024-06-25 12:08:34,1268.45,25.74,74.54,0.00,318.33,0
2024-06-25 12:08:39,852.75,25.34,72.60,0.00,481.67,0
2024-06-25 12:08:44,852.79,25.03,71.11,0.00,686.67,1
2024-06-25 12:08:49,1268.45,24.81,70.37,0.00,746.67,0
2024-06-25 12:08:54,852.79,24.82,75.39,0.00,821.67,0
2024-06-25 12:08:59,852.79,-50.00,0.00,0.00,855.00,0
2024-06-25 12:09:04,852.77,27.12,80.98,0.00,821.67,0
2024-06-25 12:09:09,852.79,27.46,81.33,0.00,855.00,0
2024-06-25 12:09:14,852.76,27.99,81.64,0.00,855.00,0
2024-06-25 12:09:19,852.76,28.29,78.79,0.00,855.00,0
2024-06-25 12:09:24,852.81,27.81,72.64,0.00,356.67,0
2024-06-25 12:09:29,852.80,27.17,67.56,0.79,153.33,0
2024-06-25 12:09:34,852.74,26.72,65.70,1.88,20.00,0
2024-06-25 12:09:39,852.75,26.49,65.22,1.88,0.00,0
